fips,State,County,Unreliable,Deaths,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Z-Score,YPLL Rate (AIAN),YPLL Rate (AIAN) 95% CI - Low,YPLL Rate (AIAN) 95% CI - High,YPLL Rate (AIAN) Unreliable,YPLL Rate (Asian),YPLL Rate (Asian) 95% CI - Low,YPLL Rate (Asian) 95% CI - High,YPLL Rate (Asian) Unreliable,YPLL Rate (Black),YPLL Rate (Black) 95% CI - Low,YPLL Rate (Black) 95% CI - High,YPLL Rate (Black) Unreliable,YPLL Rate (Hispanic),YPLL Rate (Hispanic) 95% CI - Low,YPLL Rate (Hispanic) 95% CI - High,YPLL Rate (Hispanic) Unreliable,YPLL Rate (white),YPLL Rate (white) 95% CI - Low,YPLL Rate (white) 95% CI - High,YPLL Rate (white) Unreliable,% Fair or Poor Health,95% CI - Low,95% CI - High,Z-Score,Average Number of Physically Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Average Number of Mentally Unhealthy Days,95% CI - Low,95% CI - High,Z-Score,Unreliable,% Low birthweight,95% CI - Low,95% CI - High,Z-Score,% LBW (AIAN),% LBW (AIAN) 95% CI - Low,% LBW (AIAN) 95% CI - High,% LBW (Asian),% LBW (Asian) 95% CI - Low,% LBW (Asian) 95% CI - High,% LBW (Black),% LBW (Black) 95% CI - Low,% LBW (Black) 95% CI - High,% LBW (Hispanic),% LBW (Hispanic) 95% CI - Low,% LBW (Hispanic) 95% CI - High,% LBW (white),% LBW (white) 95% CI - Low,% LBW (white) 95% CI - High,% Smokers,95% CI - Low,95% CI - High,Z-Score,% Adults with Obesity,95% CI - Low,95% CI - High,Z-Score,Food Environment Index,Z-Score,% Physically Inactive,95% CI - Low,95% CI - High,Z-Score,% With Access to Exercise Opportunities,Z-Score,% Excessive Drinking,95% CI - Low,95% CI - High,Z-Score,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Driving Deaths with Alcohol Involvement,95% CI - Low,95% CI - High,Z-Score,# Chlamydia Cases,Chlamydia Rate,Z-Score,Teen Birth Rate,95% CI - Low,95% CI - High,Z-Score,Teen Birth Rate (AIAN),Teen Birth Rate (AIAN) 95% CI - Low,Teen Birth Rate (AIAN) 95% CI - High,Teen Birth Rate (Asian),Teen Birth Rate (Asian) 95% CI - Low,Teen Birth Rate (Asian) 95% CI - High,Teen Birth Rate (Black),Teen Birth Rate (Black) 95% CI - Low,Teen Birth Rate (Black) 95% CI - High,Teen Birth Rate (Hispanic),Teen Birth Rate (Hispanic) 95% CI - Low,Teen Birth Rate (Hispanic) 95% CI - High,Teen Birth Rate (white),Teen Birth Rate (white) 95% CI - Low,Teen Birth Rate (white) 95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Z-Score,# Primary Care Physicians,Primary Care Physicians Rate,Primary Care Physicians Ratio,Z-Score,# Dentists,Dentist Rate,Dentist Ratio,Z-Score,# Mental Health Providers,Mental Health Provider Rate,Mental Health Provider Ratio,Z-Score,Preventable Hospitalization Rate,Z-Score,Preventable Hosp. Rate (AIAN),Preventable Hosp. Rate (Asian),Preventable Hosp. Rate (Black),Preventable Hosp. Rate (Hispanic),Preventable Hosp. Rate (white),% With Annual Mammogram,Z-Score,% Screened (AIAN),% Screened (Asian),% Screened (Black),% Screened (Hispanic),% Screened (white),% Vaccinated,Z-Score,% Vaccinated (AIAN),% Vaccinated (Asian),% Vaccinated (Black),% Vaccinated (Hispanic),% Vaccinated (white),# Completed High School,Population,% Completed High School,95% CI - Low,95% CI - High,Z-Score,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Z-Score,# Unemployed,Labor Force,% Unemployed,Z-Score,% Children in Poverty,95% CI - Low,95% CI - High,Z-Score,% Children in Poverty (AIAN),% Children in Poverty (Asian),% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (white),80th Percentile Income,20th Percentile Income,Income Ratio,Z-Score,# Children in Single-Parent Households,# Children in Households,% Children in Single-Parent Households,95% CI - Low,95% CI - High,Z-Score,# Associations,Social Association Rate,Z-Score,Annual Average Violent Crimes,Violent Crime Rate,Z-Score,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Z-Score,Injury Death Rate (AIAN),Injury Death Rate (AIAN) 95% CI - Low,Injury Death Rate (AIAN) 95% CI - High,Injury Death Rate (Asian),Injury Death Rate (Asian) 95% CI - Low,Injury Death Rate (Asian) 95% CI - High,Injury Death Rate (Black),Injury Death Rate (Black) 95% CI - Low,Injury Death Rate (Black) 95% CI - High,Injury Death Rate (Hispanic),Injury Death Rate (Hispanic) 95% CI - Low,Injury Death Rate (Hispanic) 95% CI - High,Injury Death Rate (white),Injury Death Rate (white) 95% CI - Low,Injury Death Rate (white) 95% CI - High,Average Daily PM2.5,Z-Score,Presence of Water Violation,Z-Score,% Severe Housing Problems,95% CI - Low,95% CI - High,Severe Housing Cost Burden,Severe Housing Cost Burden 95% CI - Low,Severe Housing Cost Burden 95% CI - High,Overcrowding,Overcrowding 95% CI - Low,Overcrowding 95% CI - High,Inadequate Facilities,Inadequate Facilities 95% CI - Low,Inadequate Facilities 95% CI - High,Z-Score,% Drive Alone to Work,95% CI - Low,95% CI - High,Z-Score,% Drive Alone (AIAN),% Drive Alone (AIAN) 95% CI - Low,% Drive Alone (AIAN) 95% CI - High,% Drive Alone (Asian),% Drive Alone (Asian) 95% CI - Low,% Drive Alone (Asian) 95% CI - High,% Drive Alone (Black),% Drive Alone (Black) 95% CI - Low,% Drive Alone (Black) 95% CI - High,% Drive Alone (Hispanic),% Drive Alone (Hispanic) 95% CI - Low,% Drive Alone (Hispanic) 95% CI - High,% Drive Alone (white),% Drive Alone (white) 95% CI - Low,% Drive Alone (white) 95% CI - High,# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Z-Score
27000,Minnesota,,,55372,5586,5515,5657,,21423,20165,22681,,4314,4056,4573,,9642,9308,9976,,4314,4058,4570,,5113,5038,5189,,13,13,14,,3.1,3,3.3,,3.99,3.8,4.2,,,7,7,7,,8,8,9,8,8,8,10,9,10,7,7,7,6,6,6,15,14,16,,30,29,31,,9,,19.7,19,21,,81,,23,23,24,,564,1889,30,29,31,,24470,433.9,,12,12,12,,45,42,48,13,12,14,24,23,25,30,29,31,8,7,8,268829,6,6,6,,5119,91,1102:01:00,,4279,76,1322:01:00,,16482,291,343:01:00,,3073,,6978,2094,5307,3279,2958,52,,25,34,33,37,53,55,,39,51,38,42,56,3550107,3802438,93,93,93,,1110469,1471018,75,75,76,,191143,3094711,6.2,,10,9,10,,38,16,34,22,6,137148,32201,4.3,,259037,1294252,20,20,20,,7133,12.6,,12950,236,,19454,69,68,70,,214,199,230,25,23,28,71,67,75,34,31,37,72,71,74,6.9,,,,13,13,13,11,11,11,2,2,2,1,1,1,,76,76,76,,69,67,71,65,64,66,67,66,69,67,66,68,78,78,78,2903106,31,31,32,
27001,Minnesota,Aitkin,,277,7625,5759,9490,0.75,,,,,,,,,,,,,,,,,,,,,16,14,18,0.34,3.7,3.5,4,0.86,4.43,4.1,4.7,1.15,,5,3,6,-1.52,,,,,,,,,,,,,,,,21,18,24,0.74,34,32,35,-0.07,7.4,1.5,23.1,21,26,0.24,46,0.57,23,22,24,-1,5,20,25,13,38,-0.33,27,170,-0.91,13,9,18,-0.33,,,,,,,,,,,,,,,,810,8,7,9,0.7,13,82,1222:01:00,-0.34,5,32,3170:01:00,1.19,13,82,1219:01:00,0.67,6993,2.84,,,,,,52,-0.03,,,,,,30,1.46,,,,,,11394,12367,92,91,93,0.12,1632,2493,65,60,71,0.46,603,7487,8.1,1.44,16,9,22,1.38,29,,,10,18,93083,22107,4.2,0.3,697,2594,27,21,33,1.63,25,15.7,0.29,18,112,-0.13,102,129,104,154,2.37,,,,,,,,,,,,,,,,6.1,-1.04,No,-0.44,16,14,18,13,11,15,2,1,3,2,1,2,1.81,80,77,82,0.38,,,,,,,,,,,,,,,,6248,34,31,37,0.54
27003,Minnesota,Anoka,,3321,5460,5178,5742,-0.47,14440,9742,20614,,4530,3510,5752,,7413,6248,8577,,3612,2698,4737,,5311,5001,5621,,13,12,15,-1.05,3.1,2.8,3.3,-1.25,3.78,3.5,4,-1.32,,6,6,7,0.19,8,4,12,7,6,8,9,8,10,6,5,8,6,6,6,17,14,19,-0.92,35,34,36,0.55,9.1,-0.96,21,19,23,-0.65,93,-1.74,22,21,23,-1.39,33,100,33,28,38,0.04,1267,355,0.52,9,9,10,-0.77,15,8,27,8,6,11,21,18,24,20,16,24,7,6,7,15598,5,5,6,-0.91,181,51,1972:01:00,0.46,234,65,1538:01:00,-0.47,672,187,536:01:00,-0.22,3475,0.22,1114,1197,4904,2017,3437,47,0.77,20,30,27,33,48,55,-0.57,31,44,33,39,56,227654,241738,94,94,95,-0.59,68506,93924,73,71,75,-0.61,12590,198304,6.3,0.29,7,5,10,-0.91,9,8,19,12,5,143343,41418,3.5,-1.35,15178,84315,18,16,20,-0.15,236,6.6,1.63,438,127,0.02,1027,58,55,62,-0.85,103,56,172,23,14,35,48,37,61,38,26,54,62,58,66,8.2,1.09,No,-0.44,10,10,11,8,8,9,2,2,2,0,0,1,-0.39,80,79,81,0.55,64,53,74,71,67,75,71,66,75,68,60,77,79,78,80,188439,43,41,44,1.39
27005,Minnesota,Becker,,494,7566,6472,8659,0.72,21914,15922,29418,,,,,,,,,,,,,,6053,5046,7060,,16,14,18,0.29,3.6,3.3,3.9,0.4,4.29,4,4.6,0.63,,6,6,7,0.27,10,7,13,,,,,,,,,,5,5,6,20,17,22,0.32,34,33,36,0.18,7.8,0.92,23.5,21,26,0.41,44,0.67,24,23,25,0.01,14,31,45,36,53,0.61,96,278.9,-0.07,18,15,21,0.24,30,20,44,,,,,,,,,,15,12,18,2095,8,7,9,0.67,27,78,1275:01:00,-0.25,21,61,1641:01:00,-0.27,77,223,447:01:00,-0.54,3222,0.03,5564,,,,2984,61,-1.48,35,,,,63,57,-0.73,50,,,,57,21834,23487,93,92,94,-0.17,5257,7452,71,66,75,-0.27,1173,18817,6.2,0.22,16,11,20,1.35,41,,4,23,12,113301,27299,4.2,0.17,1448,8305,17,14,21,-0.26,54,15.7,0.29,25,75,-0.5,149,87,73,101,0.46,242,169,337,,,,,,,,,,73,59,87,5.6,-1.55,No,-0.44,12,11,14,10,9,11,2,1,2,1,1,2,0.42,78,77,80,0.11,71,65,77,,,,,,,,,,79,76,81,16095,25,23,26,-0.33
27007,Minnesota,Beltrami,,627,10589,9461,11716,2.42,26004,22218,29790,,,,,,,,,,,,,,6128,5162,7094,,18,16,20,1.38,4.1,3.8,4.3,1.87,4.59,4.3,4.9,1.76,,6,6,7,0.16,7,6,9,,,,,,,,,,5,4,6,22,19,24,1.11,35,34,37,0.67,6.8,2.36,23.1,21,26,0.24,63,-0.24,22,21,23,-1.54,7,23,30,19,42,-0.08,263,557.3,2.09,30,27,33,1.66,81,71,91,,,,51,24,93,29,14,54,10,8,12,3851,10,9,12,2.12,47,100,1004:01:00,-0.8,35,74,1355:01:00,-0.91,175,369,271:01:00,-1.78,4105,0.69,9171,,,,3514,52,-0.03,31,,,,55,53,-0.4,33,,25,36,56,26603,28828,92,91,93,0.07,7360,10888,68,62,73,0.16,1559,24865,6.3,0.24,18,10,25,1.91,38,,68,56,13,99582,20690,4.8,1.63,3775,11660,32,27,38,2.73,58,12.3,0.79,118,257,1.29,239,102,89,115,1.14,200,161,238,,,,,,,,,,75,62,88,6.3,-0.84,No,-0.44,16,14,18,13,11,15,2,2,3,1,0,2,1.72,75,73,77,-0.86,72,63,80,,,,,,,69,53,85,78,75,80,21098,19,17,22,-0.85
27009,Minnesota,Benton,,416,5860,5047,6673,-0.24,,,,,,,,,,,,,,,,,,,,,15,13,17,-0.21,3.4,3.2,3.7,-0.05,4.17,3.9,4.5,0.16,,7,6,7,0.43,,,,,,,13,9,16,,,,6,5,7,19,16,22,0.03,37,35,38,1.17,8.3,0.2,23,21,26,0.2,57,0.02,24,23,26,0.2,5,19,26,14,39,-0.27,156,381.5,0.73,11,8,13,-0.61,,,,,,,34,20,55,34,17,62,8,6,10,2118,6,5,7,-0.33,12,29,3407:01:00,1.01,15,37,2731:01:00,0.94,7,17,5851:01:00,1.23,2673,-0.38,,,,,,55,-0.51,,,,,,52,-0.32,,,29,,53,24546,26896,91,90,93,0.42,8274,11665,71,66,76,-0.32,1465,22062,6.6,0.49,8,4,11,-0.85,,,13,12,8,108465,29796,3.6,-0.95,1893,10265,18,14,23,-0.06,48,11.7,0.87,57,142,0.16,147,73,61,84,-0.19,,,,,,,,,,,,,,,,7.1,-0.03,No,-0.44,15,13,18,13,10,15,3,2,4,0,0,1,1.53,83,81,85,1.31,,,,,,,,,,,,,,,,21369,24,21,26,-0.4
27011,Minnesota,Big Stone,x,,,,,0,,,,,,,,,,,,,,,,,,,,,16,14,18,0.24,3.6,3.4,3.9,0.5,4.33,4,4.6,0.76,,7,4,9,0.85,,,,,,,,,,,,,,,,21,18,24,0.9,35,33,36,0.39,7.9,0.77,24.2,22,27,0.71,63,-0.25,24,23,25,0.01,1,4,25,2,54,-0.33,9,180.3,-0.83,,,,0,,,,,,,,,,,,,,,,228,6,5,7,-0.21,9,180,555:01:00,-2.87,2,41,2462:01:00,0.74,3,61,1641:01:00,0.85,2315,-0.64,,,,,,57,-0.83,,,,,,48,0,,,,,,3321,3601,92,90,94,0.09,648,941,69,58,79,-0.03,119,2517,4.7,-0.79,14,8,20,0.93,,,,,,105068,20616,5.1,2.25,152,1065,14,6,23,-0.89,13,26,-1.23,2,30,-0.94,22,88,55,133,0.51,,,,,,,,,,,,,,,,6.9,-0.23,No,-0.44,11,9,14,9,6,12,1,0,2,3,1,4,0,78,73,82,-0.03,,,,,,,,,,,,,,,,2179,19,14,24,-0.86
27013,Minnesota,Blue Earth,,554,5500,4828,6171,-0.44,,,,,,,,,,,,,,,,,,,,,14,13,16,-0.46,3.5,3.3,3.8,0.15,4.13,3.8,4.4,0.02,,7,6,7,0.55,,,,12,7,17,10,7,13,,,,6,5,7,18,15,20,-0.46,34,32,35,0.06,7.4,1.5,22.6,20,25,0.03,72,-0.69,25,24,26,0.47,2,23,9,2,21,-1.09,522,771.6,3.75,7,5,8,-1.08,,,,,,,10,6,17,17,9,29,6,5,7,3206,6,5,7,-0.51,64,95,1057:01:00,-0.67,62,91,1101:01:00,-1.76,265,388,258:01:00,-1.94,2826,-0.26,,,1094,,2845,57,-0.83,,32,,60,58,63,-1.21,38,47,47,55,64,37381,39506,95,94,96,-0.74,12449,16439,76,71,80,-1.01,2181,40363,5.4,-0.34,11,7,15,0.01,,,35,12,9,111596,26730,4.2,0.23,2938,13268,22,18,26,0.68,87,12.9,0.71,132,200,0.73,191,57,49,65,-0.92,,,,,,,,,,,,,,,,8.3,1.19,No,-0.44,15,14,17,14,12,16,1,1,2,1,1,1,1.58,80,77,82,0.41,,,,46,33,59,54,36,73,81,68,95,81,80,83,36596,16,14,17,-1.18
27015,Minnesota,Brown,,270,5916,4722,7109,-0.21,,,,,,,,,,,,,,,,,,,,,14,12,16,-0.56,3.3,3,3.5,-0.55,4.03,3.7,4.3,-0.37,,6,5,7,-0.07,,,,,,,,,,,,,,,,19,15,22,-0.13,35,33,36,0.47,9.1,-0.96,21.8,19,24,-0.31,74,-0.81,26,25,27,1.35,3,9,33,15,51,0.06,61,243.9,-0.34,13,10,17,-0.28,,,,,,,,,,64,40,98,10,8,13,971,5,4,6,-0.9,25,100,1000:01:00,-0.8,17,68,1462:01:00,-0.64,52,209,478:01:00,-0.41,2480,-0.52,,,,,,64,-1.96,,,,,,54,-0.48,,,,,,16000,17216,93,92,94,-0.16,3880,5434,71,65,77,-0.39,731,14270,5.1,-0.53,8,4,11,-0.82,,,,32,5,104588,29787,3.5,-1.24,871,5455,16,12,20,-0.55,49,19.6,-0.28,19,73,-0.51,83,66,53,82,-0.49,,,,,,,,,,,,,,,,7.5,0.38,No,-0.44,7,6,9,6,4,7,1,0,1,1,0,1,-1.7,81,78,83,0.72,,,,,,,,,,75,67,83,83,80,85,13152,16,13,18,-1.19
27017,Minnesota,Carlton,,432,6077,5158,6997,-0.12,17550,12081,24647,,,,,,,,,,,,,,5245,4371,6118,,15,14,17,-0.01,3.5,3.3,3.8,0.14,4.18,3.9,4.5,0.22,,6,5,7,-0.18,8,5,11,,,,,,,,,,6,5,7,20,18,23,0.65,31,30,33,-1.1,8.6,-0.24,22,20,24,-0.22,56,0.07,26,25,27,0.94,5,15,33,19,47,0.06,147,409.8,0.95,17,14,20,0.21,57,40,80,,,,,,,,,,13,10,16,1670,6,5,7,-0.45,27,75,1329:01:00,-0.17,23,64,1555:01:00,-0.44,59,165,606:01:00,-0.04,5970,2.08,11110,,,,5576,37,2.38,27,,,,38,52,-0.32,51,,,,53,23651,25083,94,93,95,-0.63,6390,8965,71,66,77,-0.37,1280,17715,7.2,0.88,9,5,12,-0.49,35,22,,11,12,115500,31438,3.7,-0.88,1676,8009,21,16,26,0.44,42,11.7,0.88,61,172,0.45,136,76,63,89,-0.04,169,102,264,,,,,,,,,,71,58,85,4.6,-2.56,No,-0.44,12,10,13,9,8,10,2,1,3,1,1,2,0.11,83,80,86,1.32,81,74,88,,,,,,,,,,81,78,84,16046,34,31,37,0.54
