,OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
125050,125051,271631000000.0,271631000000.0,27,163,71003,1,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,1056.247482,7.9623033,1048.285179,1016.60683,1934,858.0,817.0,0.616,58,0.070991432,320,0.391676867,439,0.537331701,1090,249,361,480,0.228440367,912,131,67,483,200,31,131,67,483,112,31,0,88,0,167,362,383,0.183114035,0.8439841,1.90240705,0.89710198,0.128860043,0.065905518,0.47510993,0.19673289,0.030493598,0.128860043,0.065905518,0.47510993,0.110170419,0.030493598,0.0,0.086562472,0.0,1.741086079,0,1.11627907,0.779689021,0.779689021,0.784304085,0.675798883,0.755425996,0.761714881,0.766262246,0.799271519,0.640899508,0.911088911,1.195175439,0.822690314,12.54436108,3.717949877,1.952822131,6.873589076,30.74094783,3.052604447,4.884167116,1.221041779,29.30500269,6.715729784,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,151723,132128,-99999,-99999,0.000365641,0.443020492,0.000401179,0.554130564,-99999.0,-99999.0,-99999.0,-99999.0,18,15,8,1,8.5,12371.72188,4274573.145
125051,125052,271631000000.0,271631000000.0,27,163,71003,2,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,709.7628741,0.0,709.7628741,696.26708,574,245.0,245.0,0.571,16,0.065306122,52,0.212244898,177,0.72244898,347,79,106,162,0.227665706,222,15,36,75,96,0,15,0,75,48,0,48,0,36,46,44,132,0.207207207,0.351876467,0.824396293,0.318843166,0.021543457,0.051704297,0.107717286,0.137878126,0.0,0.021543457,0.0,0.107717286,0.068939063,0.0,0.068939063,0.0,0.051704297,0.670719632,0,0.906122449,0.870094283,0.749458422,0.935696933,0.724206999,0.78619629,0.575368749,0.584281059,0.783623064,0.557788945,0.780316344,1.563063063,0.569462091,9.682238173,2.717425593,0.222406253,6.742406327,24.65454399,1.803419208,0.901709604,0.0,22.5427401,9.017096038,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,159687,139365,-99999,-99999,0.000384833,0.466274812,0.000423153,0.584481761,-99999.0,-99999.0,-99999.0,-99999.0,18,16,7,1,8.333333333,7746.443532,2872369.927
125052,125053,271631000000.0,271631000000.0,27,163,71003,3,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,705.4109489,146.7813536,558.6295953,104.2192938,998,371.0,371.0,0.634,19,0.051212938,101,0.272237197,251,0.676549865,552,132,164,256,0.239130435,735,1,1,497,168,68,1,1,497,154,68,0,14,0,145,98,492,0.197278912,3.559801516,9.575962031,7.052436967,0.009595152,0.009595152,4.768790711,1.611985592,0.652470359,0.009595152,0.009595152,4.768790711,1.47765346,0.652470359,0.0,0.134332133,0.0,10.61223848,0,1.981132075,0.521991595,0.521991595,0.505467162,0.435537886,0.667650712,0.709027818,0.674299801,0.574624894,0.848240046,0.857808858,0.751020408,0.779595883,17.77164322,6.711761003,1.152157427,9.907724793,49.27372311,8.019625236,6.873964488,0.0,24.05887571,28.6415187,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,136517,118412,-99999,-99999,0.000328995,0.398620041,0.000359533,0.496607141,-99999.0,-99999.0,-99999.0,-99999.0,15,6,9,1,6.833333333,9884.396703,2854759.734
125053,125054,271631000000.0,271631000000.0,27,163,71006,1,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,742.6449653,4.2266455,738.4183198,656.01251,2506,1073.0,978.0,0.662,18,0.018404908,273,0.279141104,687,0.702453988,1540,326,350,864,0.211688312,4070,1292,825,67,1441,445,1292,822,67,549,445,283,609,3,1187,1220,1663,0.291646192,1.63563954,3.820049102,6.204149979,1.969474637,1.257597969,0.102132199,2.196604452,0.678340722,1.969474637,1.253024885,0.102132199,0.836874285,0.678340722,0.431394212,0.928335955,0.004573084,7.839789519,0,4.161554192,0.848114047,0.848114047,0.837763101,0.837763101,0.888587535,0.756712591,0.837451161,0.412068512,0.76216545,0.549019608,0.378378378,0.537072802,30.59503867,4.486599229,3.977058531,22.13138091,230.0579975,12.13404348,29.46839131,13.00076087,237.4805653,39.00228262,-99999.0,0.0,0.0,1.33,1.152734131,0.000530726,152201,133184,-99999,-99999,0.000366793,0.444416218,0.000404385,0.558559314,-99999.0,-99999.0,-99999.0,-99999.0,20,20,20,1,13.66666667,7814.948545,3005445.588
125054,125055,271631000000.0,271631000000.0,27,163,71006,2,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,876.4328125,1.692635,874.7401775,745.34025,2350,978.0,961.0,0.583,29,0.030176899,259,0.269510926,673,0.700312175,1268,264,233,771,0.208201893,3373,1110,756,157,605,745,1110,756,157,202,745,23,380,0,1250,999,1124,0.370589979,1.312152403,3.15292244,4.525449954,1.489252727,1.014301857,0.210642052,0.81170982,0.999543497,1.489252727,1.014301857,0.210642052,0.271017163,0.999543497,0.03085839,0.509834267,0.0,5.837602357,0,3.509885536,0.922985082,0.922985082,0.835531968,0.781878261,0.940526797,0.792686999,0.870923301,0.421425616,0.821247597,0.546433958,0.375926475,0.535757565,25.33888873,5.400730393,1.654633798,18.28352454,154.9245404,8.04810409,7.316458263,4.389874958,171.2051234,31.46077053,-99999.0,0.0,0.0,1.33,0.973088949,0.000565957,92029,80767,-99999,-99999,0.000221783,0.268718209,0.000245232,0.338728076,-99999.0,-99999.0,-99999.0,-99999.0,20,18,18,1,12.66666667,10906.43188,3546874.734
125055,125056,271311000000.0,271311000000.0,27,131,70800,5,378.0,"Minneapolis-St. Paul, MN-WI",22060.0,"Faribault-Northfield, MN",65765,27267,32831,121.985857,0.0,121.985857,121.97215,841,306.0,306.0,0.537,0,0.0,127,0.41503268,179,0.58496732,480,124,145,211,0.258333333,78,0,0,12,66,0,0,0,12,0,0,57,9,0,21,19,38,0.269230769,2.50876942,6.895016608,0.639490244,0.0,0.0,0.098383115,0.54110713,0.0,0.0,0.0,0.098383115,0.0,0.0,0.467319794,0.073787336,0.0,3.148259664,0,0.254901961,0.619382195,0.266753392,0.697563759,0.368537467,0.538780095,0.384270305,0.412007708,0.534679939,0.169749728,0.279569892,6.153846154,0.005777142,19.94795266,0.0,0.0,19.94795266,122.4535398,0.0,0.0,0.0,104.9301969,52.46509847,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,19564,21177,-99999,-99999,0.026539873,0.621750461,0.026685299,0.668212798,-99999.0,-99999.0,-99999.0,-99999.0,11,5,16,1,8.333333333,3945.3731,493669.1456
125056,125057,271450000000.0,271450000000.0,27,145,601,1,378.0,"Minneapolis-St. Paul, MN-WI",41060.0,"St. Cloud, MN",196598,107683,96801,144.444776,0.0,144.444776,141.89294,1373,518.0,483.0,0.511,90,0.186335404,170,0.351966874,223,0.461697723,721,190,330,201,0.263522885,326,3,22,85,145,71,3,22,85,37,71,53,55,0,119,85,122,0.365030675,3.650639701,9.676309477,2.297506839,0.021142701,0.155046474,0.599043194,1.021897213,0.500377256,0.021142701,0.155046474,0.599043194,0.260759979,0.500377256,0.37352105,0.387616184,0.0,5.948146539,0,0.67494824,0.787775992,0.787775992,0.899355815,0.841603658,0.661421449,0.659300932,0.700156742,0.723840139,0.38375515,0.622731614,2.211656442,0.297703742,25.0199547,0.021781986,0.212863519,24.78530919,158.0673295,0.0,0.0,0.0,110.7689765,84.18442215,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,35772,27025,-99999,-99999,0.015689494,0.997462566,0.014083648,0.99283615,-99999.0,-99999.0,-99999.0,-99999.0,15,20,18,1,12.16666667,3645.290542,584559.0096
125057,125058,270371000000.0,270371000000.0,27,37,60904,2,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,594.2972448,5.7848581,588.5123867,554.38072,1303,557.0,557.0,0.672,37,0.066427289,261,0.468581688,259,0.464991023,866,200,261,405,0.230946882,1291,118,228,492,210,243,118,63,492,70,243,110,30,165,402,343,546,0.311386522,1.004724695,2.350370338,2.328724563,0.212850115,0.411269714,0.887476751,0.378801052,0.438326932,0.212850115,0.113640316,0.887476751,0.126267017,0.438326932,0.198419599,0.054114436,0.297629398,3.333449258,0,2.317773788,0.933429849,0.933429849,0.8494011,0.8494011,0.927326606,0.825881495,0.85388847,0.491003622,0.99537394,0.802967084,0.670797831,0.719497542,14.60140798,0.776099703,1.616076323,12.20923195,71.0684107,4.349950923,11.96236504,2.174975462,45.6744847,30.44965646,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,65383,65500,-99999,-99999,0.000157568,0.190913763,0.000198877,0.274699927,-99999.0,-99999.0,-99999.0,-99999.0,20,20,12,1,11.0,7146.198431,2405087.906
125058,125059,270371000000.0,270371000000.0,27,37,60604,2,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,630.7479542,5.5073648,625.2405894,549.5618695,2044,898.0,881.0,0.548,43,0.048808173,178,0.202043133,660,0.749148695,968,212,160,596,0.219008264,228,16,6,36,159,11,16,6,36,12,11,81,66,0,55,80,93,0.24122807,1.634028942,3.719326455,0.414875945,0.029114101,0.010917788,0.065506728,0.289321383,0.020015945,0.029114101,0.010917788,0.065506728,0.021835576,0.020015945,0.147390138,0.120095668,0.0,2.048904887,0,0.258796822,0.603456646,0.603456646,0.822933416,0.770088726,0.394991986,0.493076863,0.533055472,0.517740049,0.200704225,0.381270903,4.245614035,0.038944644,18.8035483,3.807158454,4.512332314,10.48405753,57.00256926,3.07081791,22.51933134,7.16524179,42.99145074,6.14163582,-99999.0,0.0,0.0,2.0,2.04721194,0.000978474,246049,193054,-99999,-99999,0.000592959,0.71844578,0.000586168,0.809647629,-99999.0,-99999.0,-99999.0,-99999.0,7,18,10,1,7.833333333,7165.978041,2552602.289
125059,125060,270371000000.0,270371000000.0,27,37,60817,4,378.0,"Minneapolis-St. Paul, MN-WI",33460.0,"Minneapolis-St. Paul-Bloomington, MN-WI",3542616,1921136,1875754,1047.547833,38.5364805,1009.011352,1009.011352,4225,1325.0,1325.0,0.592,46,0.034716981,236,0.178113208,1043,0.787169811,1456,276,295,885,0.18956044,136,3,13,77,43,0,3,13,77,27,0,16,0,0,28,15,93,0.205882353,1.313166593,4.187267061,0.134785401,0.002973207,0.012883899,0.076312323,0.042615972,0.0,0.002973207,0.012883899,0.076312323,0.026758866,0.0,0.015857106,0.0,0.0,1.447951994,0,0.102641509,0.717508803,0.618028444,0.747698258,0.57870053,0.249909494,0.212386349,0.20496446,0.000287252,0.062371016,0.170854271,10.70588235,6.09241e-05,18.49777411,2.79648247,3.156718411,12.54457323,74.44594139,5.708558171,10.14854786,11.41711634,59.62271868,16.49139027,-99999.0,0.0,0.0,-99999.0,-99999.0,-99999.0,98829,96154,-99999,-99999,0.00023817,0.288573731,0.000291952,0.403259493,-99999.0,-99999.0,-99999.0,-99999.0,4,11,12,1,6.833333333,8984.860085,4239370.045
